PMID,DOI,First_Author,Year,Title,Journal,Journal_Abbrev,Publication_Type,Original_Domain_Group,Domain_Searches,AI_Decision,Analytic_Set_Decision,Initial_Human_Audit_Decision,Abstract_Availability,Abstract_Informed_Decision,Decision_Reconciliation,Final_Domain_Group,Abstract_Informed_Rationale
37296271,10.1038/s41391-023-00684-0,Baydoun A,2024,Artificial intelligence applications in prostate cancer.,Prostate cancer and prostatic diseases,Prostate Cancer Prostatic Dis,Journal Article; Review,Governance,ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Broad Reviews,Abstract and metadata support the original human Include decision.
39509461,10.1371/journal.pdig.0000651,Cross JL,2024,Bias in medical AI: Implications for clinical decision-making.,PLOS digital health,PLOS Digit Health,Journal Article; Review,Governance,ai_urology_ethics; ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
39034409,10.1186/s13037-024-00406-y,Deol ES,2024,Artificial intelligence model for automated surgical instrument detection and counting: an experimental proof-of-concept study.,Patient safety in surgery,Patient Saf Surg,Journal Article,Governance,ai_urology_implementation; surgical_video,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Governance,Abstract describes general surgical instrument detection/counting without urology-specific clinical context.
38955940,10.1007/s11255-024-04137-y,Feng C,2024,Optimizing anterior urethral stricture assessment: leveraging AI-assisted three-dimensional sonourethrography in clinical practice.,International urology and nephrology,Int Urol Nephrol,Journal Article,Governance,ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
38670745,10.1016/S2589-7500(24)00047-5,Han R,2024,Randomised controlled trials evaluating artificial intelligence in clinical practice: a scoping review.,The Lancet. Digital health,Lancet Digit Health,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Scoping Review",Governance,reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
37938381,10.1007/s00330-023-10384-x,Hasani AM,2024,Evaluating the performance of Generative Pre-trained Transformer-4 (GPT-4) in standardizing radiology reports.,European radiology,Eur Radiol,Comparative Study; Journal Article,Governance,ai_urology_implementation; llm_urology,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Governance,Abstract evaluates GPT-4 for general radiology-report standardization without urology-specific context.
39682641,10.3390/diagnostics14232734,Janicki JJ,2024,Advancing Interstitial Cystitis/Bladder Pain Syndrome (IC/BPS) Diagnosis: A Comparative Analysis of Machine Learning Methodologies.,"Diagnostics (Basel, Switzerland)",Diagnostics (Basel),Journal Article,Governance,ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
38498357,10.1097/JS9.0000000000001290,Li J,2024,RARPKB: a knowledge-guide decision support platform for personalized robot-assisted surgery in prostate cancer.,"International journal of surgery (London, England)",Int J Surg,Journal Article; Review,Governance,ai_urology_implementation; llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Surgical AI,Abstract and metadata support the original human Include decision.
38388497,10.1038/s41467-024-45355-3,Martindale APL,2024,Concordance of randomised controlled trials for artificial intelligence interventions with the CONSORT-AI reporting guidelines.,Nature communications,Nat Commun,Journal Article; Systematic Review,Governance,reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
39294061,10.1016/S2589-7500(24)00143-2,Ning Y,2024,Generative artificial intelligence and ethical considerations in health care: a scoping review and ethics checklist.,The Lancet. Digital health,Lancet Digit Health,"Journal Article; Research Support, Non-U.S. Gov't; Scoping Review",Governance,reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
38599321,10.1016/j.fjurol.2024.102636,Perrot O,2024,Chatbots vs andrologists: Testing 25 clinical cases.,The French journal of urology,Fr J Urol,Comparative Study; Journal Article,Governance,ai_urology_implementation; andrology_broad; llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
38285173,10.1007/s00292-024-01305-w,Stoll AK,2024,[Histomolecular classification of urothelial carcinoma of the urinary bladder : From histological phenotype to genotype and back].,"Pathologie (Heidelberg, Germany)",Pathologie (Heidelb),English Abstract; Journal Article,Governance,ai_urology_implementation; bladder_cystoscopy,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Bladder Cancer,Abstract explicitly describes AI prediction of molecular subtypes in muscle-invasive urothelial carcinoma from histology.
39328740,10.1007/s13193-024-02023-8,Vakili-Ojarood M,2024,Ethical Considerations and Equipoise in Cancer Surgery.,Indian journal of surgical oncology,Indian J Surg Oncol,Journal Article; Review,Governance,ai_urology_ethics; surgical_video,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Governance,Abstract focuses on general cancer-surgery ethics; AI is discussed only in broad surgical innovation without a urology-specific task.
38618206,10.1016/j.eclinm.2024.102580,Wu S,2024,"An artificial intelligence model for detecting pathological lymph node metastasis in prostate cancer using whole slide images: a retrospective, multicentre, diagnostic study.",EClinicalMedicine,EClinicalMedicine,Journal Article,Governance,ai_urology_ethics,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Pathology,Abstract and metadata support the original human Include decision.
38165522,10.1186/s41747-023-00402-4,van den Berg I,2024,Automated pelvic MRI measurements associated with urinary incontinence for prostate cancer patients undergoing radical prostatectomy.,European radiology experimental,Eur Radiol Exp,Comment; Journal Article,Governance,ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
40090974,10.1186/s43046-025-00265-3,Arafa MA,2025,Prediction of prostate biopsy outcomes at different cut-offs of prostate-specific antigen using machine learning: a multicenter study.,Journal of the Egyptian National Cancer Institute,J Egypt Natl Canc Inst,Journal Article; Multicenter Study,Governance,ai_urology_ethics; prostate_pathology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Pathology,Abstract and metadata support the original human Include decision.
41440224,10.3390/curroncol32120696,Cano I,2025,Readability Optimization of Layperson Summaries in Urological Oncology Clinical Trials: Outcomes from the BRIDGE-AI 8 Study.,"Current oncology (Toronto, Ont.)",Curr Oncol,Journal Article,Governance,ai_urology_ethics,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
40771241,10.3389/fpubh.2025.1605908,Cao H,2025,Battle of the artificial intelligence: a comprehensive comparative analysis of DeepSeek and ChatGPT for urinary incontinence-related questions.,Frontiers in public health,Front Public Health,Comparative Study; Journal Article,Governance,ai_urology_implementation; functional_urology; llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
40055071,10.1016/j.urolonc.2025.02.009,Chen F,2025,Molecular testing in urinary cytology specimens: Current status and future directions.,Urologic oncology,Urol Oncol,Journal Article; Review,Governance,ai_urology_implementation; bladder_cystoscopy,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Bladder Cancer,Abstract reviews urinary cytology for bladder cancer and includes artificial intelligence among diagnostic innovations.
39470660,10.5489/cuaj.8870,Elterman D,2025,Evaluation of proudP A sound-based approach to uroflowmetry.,Canadian Urological Association journal = Journal de l'Association des urologues du Canada,Can Urol Assoc J,Journal Article,Governance,ai_urology_implementation,INCLUDE,INCLUDE,UNCERTAIN,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_INCLUDE,Benign/Functional,Abstract validates the proudP artificial-intelligence algorithm for sound-based uroflowmetry.
40952146,10.1080/19396368.2025.2551006,Filiponi M,2025,"Navigating male infertility through testicular biopsy: outcomes, predictive parameters, and surgical innovation.",Systems biology in reproductive medicine,Syst Biol Reprod Med,Journal Article; Review,Governance,ai_urology_implementation; male_infertility,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Andrology,Abstract reviews male-infertility/testicular-biopsy management and explicitly discusses AI/ML for prediction and decision-making.
39937033,10.4274/dir.2025.243182,Kocak B,2025,Adherence to the Checklist for Artificial Intelligence in Medical Imaging (CLAIM): an umbrella review with a comprehensive two-level analysis.,"Diagnostic and interventional radiology (Ankara, Turkey)",Diagn Interv Radiol,Journal Article,Governance,reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
40790928,10.1002/mp.18025,Lenfant L,2025,Defining ground truth for prostate segmentation of transrectal ultrasound images: Inter- and intra-observer variability of manual versus semi-automatic methods.,Medical physics,Med Phys,Comparative Study; Journal Article,Governance,ai_urology_implementation; prostate_pathology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Imaging,Abstract and metadata support the original human Include decision.
41114364,10.3389/fonc.2025.1661695,Liu Z,2025,Interpretable machine learning models based on multi-dimensional fusion data for predicting positive surgical margins in robot-assisted radical prostatectomy: a retrospective study.,Frontiers in oncology,Front Oncol,Journal Article,Governance,ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Surgical AI,Abstract and metadata support the original human Include decision.
41121083,10.1186/s12885-025-14828-z,Maroto JP,2025,Real-world evidence in localized and locally advanced prostate cancer: applying artificial intelligence to electronic health records.,BMC cancer,BMC Cancer,Journal Article,Governance,ai_urology_ethics; ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
41322957,10.1016/j.euros.2025.10.022,Ozkan A,2025,Validation of Artificial Intelligence-enhanced Stimulated Raman Histopathology for Intraoperative Margin Assessment During Robot-assisted Radical Prostatectomy: Preliminary Results from the ROBOSPEC Study.,European urology open science,Eur Urol Open Sci,Journal Article,Governance,ai_urology_implementation; stimulated_raman_histology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Pathology,Abstract and metadata support the original human Include decision.
40877457,10.1186/s13550-025-01312-9,Ruhwedel T,2025,AI-driven body composition monitoring and its prognostic role in mCRPC undergoing lutetium-177 PSMA radioligand therapy: insights from a retrospective single-center analysis.,EJNMMI research,EJNMMI Res,Journal Article,Governance,ai_urology_ethics,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Imaging,Abstract and metadata support the original human Include decision.
40830224,10.1038/s41598-025-99754-7,Singh S,2025,Integrating miRNA profiling and machine learning for improved prostate cancer diagnosis.,Scientific reports,Sci Rep,Journal Article,Governance,ai_urology_implementation,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Pathology,Abstract and metadata support the original human Include decision.
41193866,10.1038/s41443-025-01200-9,Sokmen D,2025,Artificial intelligence meets medical rarity: evaluating ChatGPT's responses on post-orgasmic illness syndrome.,International journal of impotence research,Int J Impot Res,Journal Article,Governance,ai_urology_implementation; andrology_broad; llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
41658336,10.1002/bco2.70167,Arang H,2026,Streamlining urology cancer multidisciplinary team meetings: Implementation and outcomes.,BJUI compass,BJUI Compass,Journal Article,Governance,ai_urology_implementation,INCLUDE,EXCLUDE,UNCERTAIN,AVAILABLE,EXCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_EXCLUDE,Governance,Abstract evaluates a standards-of-care MDT triage workflow; AI is only listed as a suggested future improvement.
41866253,10.1016/j.diii.2026.03.002,Cherrak C,2026,Prostatic artery embolization for benign prostatic hyperplasia: State of the art.,Diagnostic and interventional imaging,Diagn Interv Imaging,Journal Article; Review,Governance,ai_urology_implementation; functional_urology,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Benign/Functional,"Abstract reviews BPH prostatic-artery embolization and explicitly discusses AI for patient selection, planning, and intraoperative guidance."
41620795,10.1186/s13040-026-00524-6,Song H,2026,Automatic clear cell renal cell carcinoma grading framework using histopathological images via artificial intelligence: a benchmarking study.,BioData mining,BioData Min,Journal Article,Governance,ai_urology_ethics,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Renal/Kidney,Abstract and metadata support the original human Include decision.
41749362,10.1186/s40001-026-04118-0,Tai Y,2026,Construction of interpretable machine-learning diagnostic models for erectile dysfunction based on routine blood and biochemical detection data.,European journal of medical research,Eur J Med Res,Journal Article,Governance,ai_urology_ethics; erectile_dysfunction,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
41507902,10.1186/s12894-026-02048-x,Taskiran AT,2026,Clinical reasoning with machines: evaluating the interpretive depth of AI in urological case assessments.,BMC urology,BMC Urol,Journal Article,Governance,ai_urology_ethics; ai_urology_implementation; llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
41196365,10.1007/s00330-025-12114-x,van den Kroonenberg DL,2026,Evaluation of an artificial intelligence model based on multiparametric transrectal ultrasound for localizing clinically significant prostate cancer by simulation of targeted biopsies.,European radiology,Eur Radiol,Journal Article,Governance,ai_urology_implementation; prostate_pathology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Imaging,Abstract and metadata support the original human Include decision.
37406864,10.1016/j.urology.2023.05.040,Coskun B,2023,"Can ChatGPT, an Artificial Intelligence Language Model, Provide Accurate and High-quality Patient Information on Prostate Cancer?",Urology,Urology,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
37528247,10.1007/s11255-023-03729-4,Gabriel J,2023,The utility of the ChatGPT artificial intelligence tool for patient education and enquiry in robotic radical prostatectomy.,International urology and nephrology,Int Urol Nephrol,Journal Article,LLMs & GenAI,llm_urology; surgical_video,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
37864445,10.1684/abc.2023.1829,Lamy PJ,2023,Conversation between a clinical biologist and an artificial intelligence on prostate cancer biomarkers: a critical reading.,Annales de biologie clinique,Ann Biol Clin (Paris),Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
37387096,10.3233/SHTI230562,Manolitsis I,2023,Training ChatGPT Models in Assisting Urologists in Daily Practice.,Studies in health technology and informatics,Stud Health Technol Inform,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
39329071,10.1016/j.euros.2024.08.022,Baumgartner K,2024,Effectiveness of the Medical Chatbot PROSCA to Inform Patients About Prostate Cancer: Results of a Randomized Controlled Trial.,European urology open science,Eur Urol Open Sci,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
38460761,10.1016/j.idnow.2024.104884,Cakir H,2024,Evaluating ChatGPT ability to answer urinary tract Infection-Related questions.,Infectious diseases now,Infect Dis Now,Journal Article,LLMs & GenAI,llm_urology; uti_triage,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
39236508,10.1016/j.clgc.2024.102206,Erkan A,2024,Can Patients With Urogenital Cancer Rely on Artificial Intelligence Chatbots for Treatment Decisions?,Clinical genitourinary cancer,Clin Genitourin Cancer,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
39141904,10.2196/55939,Gibson D,2024,Evaluating the Efficacy of ChatGPT as a Patient Education Tool in Prostate Cancer: Multimetric Assessment.,Journal of medical Internet research,J Med Internet Res,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
38590955,10.21037/tau-23-545,McMahon A,2024,Exploring the capabilities and challenges of ChatGPT in disseminating urologic information.,Translational andrology and urology,Transl Androl Urol,Comment; Editorial,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,NO_SUBSTANTIVE_ABSTRACT,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,No substantive PubMed abstract was available; retained because title and metadata clearly describe an in-scope AI/urology record.
39141845,10.1097/JU.0000000000004199,Ramacciotti LS,2024,Generative Artificial Intelligence Platform for Automating Social Media Posts From Urology Journal Articles: A Cross-Sectional Study and Randomized Assessment.,The Journal of urology,J Urol,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
38242990,10.1038/s41443-024-00823-8,Razdan S,2024,Response to commentary on: assessing ChatGPT's ability to answer questions pertaining to erectile dysfunction: can our patients trust it?,International journal of impotence research,Int J Impot Res,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,NO_SUBSTANTIVE_ABSTRACT,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,No substantive PubMed abstract was available; retained because title and metadata clearly describe an in-scope AI/urology record.
39729119,10.1007/s00345-024-05399-y,Robinson EJ,2024,"Physician vs. AI-generated messages in urology: evaluation of accuracy, completeness, and preference by patients and physicians.",World journal of urology,World J Urol,Comparative Study; Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
38373482,10.1016/j.acuroe.2024.02.009,Szczesniewski JJ,2024,"Quality of information about urologic pathology in English and Spanish from ChatGPT, BARD, and Copilot.",Actas urologicas espanolas,Actas Urol Esp (Engl Ed),Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
39047282,10.2196/57721,Tung JYM,2024,Comparison of the Quality of Discharge Letters Written by Large Language Models and Junior Clinicians: Single-Blinded Study.,Journal of medical Internet research,J Med Internet Res,Comparative Study; Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,LLMs & GenAI,Abstract evaluates GPT-4 discharge letters for simulated urology outpatient clinic cases.
39347975,10.1007/s00261-024-04619-8,Bulbul O,2025,Assessing ChatGPT's summarization of (68)Ga PSMA PET/CT reports for patients.,Abdominal radiology (New York),Abdom Radiol (NY),Journal Article,LLMs & GenAI,llm_urology; psma_pet,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
41085611,10.1007/s11701-025-02871-8,Davuluri T,2025,Quality assessment of patient-facing urologic telesurgery content using validated tools.,Journal of robotic surgery,J Robot Surg,Journal Article,LLMs & GenAI,llm_urology; surgical_video,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,LLMs & GenAI,Abstract compares ChatGPT and Gemini for patient-facing urologic telesurgery information.
40993200,10.1038/s41443-025-01179-3,Gonultas S,2025,"Chatbots' performance in premature ejaculation questions: a comparative analysis of reliability, readability, and understandability.",International journal of impotence research,Int J Impot Res,Comparative Study; Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
41413170,10.1038/s41746-025-02166-0,Hao Y,2025,Personalizing prostate cancer education for patients using an EHR-Integrated LLM agent.,NPJ digital medicine,NPJ Digit Med,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
40821282,10.7759/cureus.88167,Sriram A,2025,Context-Aware Retrieval-Augmented Generation for Artificial Intelligence in Urology.,Cureus,Cureus,Journal Article,LLMs & GenAI,llm_urology; rag_scribes,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
39914668,10.1016/j.urology.2025.01.054,Stapleton P,2025,Quality of Information on Wilms Tumor From Artificial Intelligence Chatbots: What Are Your Patients and Their Families Reading?,Urology,Urology,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
39509585,10.1097/UPJ.0000000000000740,Stenzl A,2025,Evaluation of ChatGPT as a Reliable Source of Medical Information on Prostate Cancer for Patients: Global Comparative Survey of Medical Oncologists and Urologists.,Urology practice,Urol Pract,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",LLMs & GenAI,llm_urology; reporting_guidelines,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
41906623,10.4274/MMJ.galenos.2026.38586,Beyatli M,2026,Evaluating the Educational Quality of Benign Prostate Surgery Videos on YouTube: A Human and AI-Based Comparative Analysis.,Medeniyet medical journal,Medeni Med J,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
41401634,10.1016/j.ejca.2025.116168,Carl N,2026,Enhancing clinicians' trust in large language models via transparent source attribution: A randomized controlled evaluation in uro-oncology.,"European journal of cancer (Oxford, England : 1990)",Eur J Cancer,Journal Article; Randomized Controlled Trial,LLMs & GenAI,llm_urology; rag_scribes,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
41829403,10.3390/s26051441,Jonaitis D,2026,Soft Optical Sensor for Embryo Quality Evaluation Based on Multi-Focal Image Fusion and RAG-Enhanced Vision Transformers.,"Sensors (Basel, Switzerland)",Sensors (Basel),Journal Article,LLMs & GenAI,rag_scribes,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Andrology,Abstract describes AI/RAG-enhanced embryo quality assessment in IVF; this remains embryology/ART rather than male reproductive health.
40856608,10.1590/S1677-5538.IBJU.2025.0459,Osorio JMM,2026,"Comments on ""Use of ChatGPT in Urology and its Relevance in Clinical Practice"": To-ward a Responsible AI Framework for Middle-Income Settings.",International braz j urol : official journal of the Brazilian Society of Urology,Int Braz J Urol,Letter,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,NO_SUBSTANTIVE_ABSTRACT,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,No substantive PubMed abstract was available; retained because title and metadata clearly describe an in-scope AI/urology record.
41858507,10.3389/fdgth.2026.1741973,Xu W,2026,Evaluating large language models for automated TNM staging from PET-CT reports: a multi-cancer comparative study.,Frontiers in digital health,Front Digit Health,Journal Article,LLMs & GenAI,llm_urology,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,LLMs & GenAI,Abstract evaluates LLM TNM staging across cancers including renal and prostate cancer PET-CT reports.
33680954,10.3389/fonc.2020.631831,Li M,2020,Use of Radiomics to Improve Diagnostic Performance of PI-RADS v2.1 in Prostate Cancer.,Frontiers in oncology,Front Oncol,Journal Article,Prostate Imaging,prostate_mri,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Imaging,Abstract and metadata support the original human Include decision.
32842599,10.3390/diagnostics10090622,Moazemi S,2020,Machine Learning Facilitates Hotspot Classification in PSMA-PET/CT with Nuclear Medicine Specialist Accuracy.,"Diagnostics (Basel, Switzerland)",Diagnostics (Basel),Journal Article,Prostate Imaging,psma_pet,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Imaging,Abstract and metadata support the original human Include decision.
35155207,10.3389/fonc.2021.818329,Deng F,2021,Low-Dose 68 Ga-PSMA Prostate PET/MRI Imaging Using Deep Learning Based on MRI Priors.,Frontiers in oncology,Front Oncol,Journal Article,Prostate Imaging,psma_pet,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Imaging,Abstract and metadata support the original human Include decision.
34993152,10.3389/fonc.2021.801876,Liu Y,2021,Deep Learning Enables Prostate MRI Segmentation: A Large Cohort Evaluation With Inter-Rater Variability Analysis.,Frontiers in oncology,Front Oncol,Journal Article,Prostate Imaging,prostate_mri,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Prostate Imaging,Abstract and metadata support the original human Include decision.
